Date,Consumer_Industry_Index
2025-04-01,52899.18934646417
2025-05-01,44047.23810341112
2025-06-01,47055.38818536542
2025-07-01,47522.46286125291
2025-08-01,48208.559700365215
2025-09-01,50856.448004867045
2025-10-01,51121.69529102461
2025-11-01,50505.322918652244
2025-12-01,50324.8193870613
2026-01-01,49197.95939623335
2026-02-01,46301.64218693758
2026-03-01,48689.30064630509
2026-04-01,47368.236996717416
2026-05-01,38515.36750020111
2026-06-01,41477.86236931947
2026-07-01,41957.217597524104
2026-08-01,42650.1040406789
2026-09-01,45276.49915944107
2026-10-01,45596.77492138164
2026-11-01,44955.52710430594
2026-12-01,44774.97914200888
2027-01-01,43616.07448046874
2027-02-01,40745.46056218764
2027-03-01,43179.024061129196
2027-04-01,41835.23162496041
2027-05-01,32985.17537724355
2027-06-01,35899.797855942685
2027-07-01,36392.28751155974
2027-08-01,37092.060137999324
2027-09-01,39696.54216481272
2027-10-01,40071.82443152271
2027-11-01,39405.26788826618
2027-12-01,39224.360011567485
2028-01-01,38034.120553161745
2028-02-01,35191.417274766754
2028-03-01,37489.809884192146
2028-04-01,36210.543309201516
2028-05-01,27363.245328801226
