Date,HAG_Price,Mở,Cao,Thấp,KL,% Thay đổi,SP500_Price,VNINDEX_Price,Agriculture_Industry_Index
2025-01-21,11950.0,"11,900.0","11,950.0","11,800.0",3.19M,1.27%,6049.24,1246.09,21215.82073434125
2025-01-20,11800.0,"11,800.0","11,900.0","11,750.0",3.50M,0.00%,5996.66,1249.55,21342.67008639309
2025-01-17,11800.0,"11,850.0","11,950.0","11,750.0",2.24M,0.43%,5996.66,1249.11,21432.10043196544
2025-01-16,11750.0,"11,750.0","11,950.0","11,700.0",4.97M,0.86%,5937.34,1242.36,21366.54967602592
2025-01-15,11650.0,"11,600.0","11,700.0","11,500.0",2.49M,0.87%,5949.91,1236.18,21120.140388768898
2025-01-14,11550.0,"11,800.0","11,900.0","11,500.0",2.98M,-2.12%,5842.91,1229.07,20948.16414686825
2025-01-13,11800.0,"11,650.0","11,900.0","11,600.0",6.81M,1.29%,5836.22,1235.65,21147.79967602592
2025-01-10,11650.0,"11,950.0","12,000.0","11,650.0",4.61M,-2.51%,5827.04,1230.48,21001.862850971924
2025-01-09,11950.0,"11,950.0","12,000.0","11,850.0",2.20M,0.84%,5918.25,1245.77,21213.82289416847
2025-01-08,11850.0,"11,700.0","12,100.0","11,700.0",5.14M,1.72%,5918.25,1251.02,21278.428725701942
2025-01-07,11650.0,"11,650.0","11,850.0","11,650.0",6.47M,0.43%,5909.03,1246.95,21058.59881209503
2025-01-06,11600.0,"11,900.0","11,950.0","11,550.0",4.45M,-2.11%,5975.38,1246.35,20990.3752699784
2025-01-03,11850.0,"12,300.0","12,300.0","11,850.0",8.34M,-3.66%,5942.47,1254.59,21401.17440604752
2025-01-02,12300.0,"12,150.0","12,500.0","12,100.0",6.43M,2.07%,5868.55,1269.71,21977.15982721382
2024-12-31,12050.0,"12,250.0","12,300.0","11,900.0",7.39M,0.42%,5881.63,1266.78,21822.907667386607
2024-12-30,12000.0,"12,000.0","12,150.0","11,750.0",5.96M,0.00%,5906.94,1272.02,21953.06425485961
2024-12-27,12000.0,"12,500.0","12,600.0","11,950.0",15.72M,-4.00%,5970.84,1275.14,22090.307775377973
2024-12-26,12500.0,"12,550.0","12,650.0","12,500.0",4.40M,0.00%,6037.59,1272.87,21739.25485961124
2024-12-25,12500.0,"12,750.0","12,850.0","12,500.0",5.67M,-1.96%,6040.04,1274.04,21732.91036717063
2024-12-24,12750.0,"12,850.0","13,050.0","12,650.0",6.15M,-0.78%,6040.04,1260.36,21884.665226781857
2024-12-23,12850.0,"12,400.0","12,950.0","12,350.0",7.11M,4.90%,5974.07,1262.76,21934.854211663067
2024-12-20,12250.0,"12,400.0","12,600.0","12,250.0",6.82M,-0.81%,5930.85,1257.5,21503.482721382286
2024-12-19,12350.0,"12,350.0","12,400.0","12,100.0",7.62M,-0.40%,5867.08,1254.67,21533.65280777538
2024-12-18,12400.0,"12,400.0","12,700.0","12,400.0",9.64M,-0.40%,5872.16,1266.0,21748.704103671706
2024-12-17,12450.0,"12,450.0","12,500.0","12,350.0",3.63M,-0.40%,6050.61,1261.72,20922.1247300216
2024-12-16,12500.0,"12,550.0","12,700.0","12,400.0",3.81M,0.81%,6074.08,1263.79,20722.057235421165
2024-12-13,12400.0,"12,350.0","12,600.0","12,300.0",4.50M,0.00%,6051.09,1262.57,20743.29103671706
2024-12-12,12400.0,"12,550.0","12,600.0","12,350.0",3.48M,-0.80%,6051.25,1267.35,20836.393088552915
2024-12-11,12500.0,"12,500.0","12,650.0","12,300.0",5.80M,0.40%,6084.19,1268.86,20903.766198704103
2024-12-10,12450.0,"12,650.0","12,700.0","12,350.0",7.02M,-1.19%,6034.91,1272.07,20879.25215982721
2024-12-09,12600.0,"12,000.0","12,700.0","11,900.0",29.88M,5.88%,6052.85,1273.84,20847.67818574514
2024-12-06,11900.0,"11,750.0","12,200.0","11,700.0",10.69M,1.71%,6090.27,1270.14,20729.61663066955
2024-12-05,11700.0,"11,500.0","11,800.0","11,400.0",4.99M,2.63%,6075.11,1267.53,20711.32559395249
2024-12-04,11400.0,"11,800.0","11,800.0","11,400.0",5.75M,-3.39%,6086.49,1240.41,20168.33153347732
2024-12-03,11800.0,"11,800.0","11,800.0","11,600.0",2.70M,1.29%,6049.88,1249.83,20406.62796976242
2024-12-02,11650.0,"11,950.0","12,100.0","11,600.0",5.84M,-2.51%,6047.15,1251.21,20501.444384449245
2024-11-29,11950.0,"12,000.0","12,050.0","11,800.0",6.79M,0.00%,6032.38,1250.46,20539.13336933045
2024-11-28,11950.0,"11,800.0","12,100.0","11,750.0",5.82M,1.70%,5998.74,1242.11,20462.553995680348
2024-11-27,11750.0,"12,150.0","12,150.0","11,750.0",7.25M,-3.29%,5998.74,1241.97,20309.611231101517
2024-11-26,12150.0,"12,150.0","12,150.0","11,900.0",5.44M,0.41%,6021.63,1242.13,20385.569654427643
2024-11-25,12100.0,"11,700.0","12,100.0","11,600.0",5.32M,3.42%,5987.37,1234.7,20279.805615550755
2024-11-22,11700.0,"11,650.0","12,300.0","11,550.0",11.09M,0.43%,5969.34,1228.1,20167.04913606912
2024-11-21,11650.0,"11,650.0","11,750.0","11,500.0",2.55M,0.00%,5948.71,1228.33,20210.448164146863
2024-11-20,11650.0,"11,350.0","11,850.0","11,350.0",5.97M,2.19%,5917.11,1216.54,20124.190064794817
2024-11-19,11400.0,"11,300.0","11,750.0","11,300.0",5.80M,0.00%,5916.98,1205.15,19688.120950323973
2024-11-18,11400.0,"11,900.0","11,900.0","11,300.0",7.68M,-3.39%,5893.62,1217.12,19782.38390928726
2024-11-15,11800.0,"11,750.0","11,950.0","11,650.0",6.33M,0.43%,5870.62,1218.57,19814.794816414687
2024-11-14,11750.0,"11,400.0","12,050.0","11,250.0",17.86M,3.98%,5949.17,1231.89,19789.10637149028
2024-11-13,11300.0,"11,200.0","11,600.0","11,100.0",10.12M,0.89%,5985.38,1246.04,20119.60043196544
2024-11-12,11200.0,"10,500.0","11,200.0","10,500.0",26.38M,6.67%,5983.99,1244.82,20194.208963282937
2024-11-11,10500.0,"10,350.0","10,500.0","10,300.0",5.12M,1.45%,6001.35,1250.32,19776.47138228942
2024-11-08,10350.0,"10,450.0","10,450.0","10,350.0",3.65M,-0.48%,5995.54,1252.56,19784.96220302376
2024-11-07,10400.0,"10,550.0","10,550.0","10,400.0",2.80M,-0.48%,5973.1,1259.75,19976.322894168465
2024-11-06,10450.0,"10,400.0","10,450.0","10,300.0",3.48M,0.97%,5929.04,1261.28,20022.853671706263
2024-11-05,10350.0,"10,400.0","10,400.0","10,250.0",1.46M,0.49%,5782.76,1245.76,19828.010259179267
2024-11-04,10300.0,"10,350.0","10,500.0","10,300.0",3.40M,0.49%,5712.69,1244.71,19807.167926565875
2024-11-01,10250.0,"10,350.0","10,400.0","10,250.0",2.12M,-0.97%,5728.8,1254.89,19959.16576673866
2024-10-31,10350.0,"10,300.0","10,450.0","10,300.0",1.93M,0.00%,5705.45,1264.48,20058.40982721382
2024-10-30,10350.0,"10,300.0","10,500.0","10,250.0",4.79M,1.47%,5813.67,1258.63,19940.280777537795
2024-10-29,10200.0,"10,300.0","10,350.0","10,200.0",1.74M,0.49%,5832.92,1261.78,19924.311555075597
2024-10-28,10150.0,"10,300.0","10,300.0","10,050.0",4.33M,0.00%,5823.52,1254.77,19815.71274298056
2024-10-25,10150.0,"10,600.0","10,600.0","10,150.0",12.73M,-3.79%,5808.12,1252.72,19713.83639308855
2024-10-24,10550.0,"10,750.0","10,850.0","10,550.0",5.55M,-1.40%,5809.86,1257.41,19869.546436285094
2024-10-23,10700.0,"10,600.0","10,750.0","10,450.0",4.26M,1.90%,5797.42,1270.9,20221.34179265659
2024-10-22,10500.0,"10,600.0","10,650.0","10,450.0",3.72M,-0.94%,5851.2,1269.89,19997.570194384447
2024-10-21,10600.0,"10,600.0","10,750.0","10,600.0",2.42M,0.00%,5853.98,1279.77,20324.23056155508
2024-10-18,10600.0,"10,900.0","10,900.0","10,600.0",3.51M,-1.85%,5864.67,1285.46,20512.027537796977
2024-10-17,10800.0,"10,800.0","10,900.0","10,550.0",6.51M,0.00%,5841.47,1286.52,20591.53617710583
2024-10-16,10800.0,"11,000.0","11,000.0","10,750.0",3.60M,-1.82%,5842.47,1279.48,20699.986501079915
2024-10-15,11000.0,"11,000.0","11,250.0","10,850.0",8.56M,0.00%,5815.26,1281.08,20913.84989200864
2024-10-14,11000.0,"11,050.0","11,100.0","10,950.0",3.98M,0.00%,5859.85,1286.34,20959.44924406048
2024-10-11,11000.0,"11,100.0","11,100.0","10,900.0",2.26M,0.00%,5815.03,1288.39,20782.167926565875
2024-10-10,11000.0,"11,150.0","11,350.0","11,000.0",7.20M,-0.45%,5780.05,1286.36,20793.38552915767
2024-10-09,11050.0,"11,000.0","11,150.0","11,000.0",4.25M,1.38%,5792.04,1281.85,20843.37203023758
2024-10-08,10900.0,"11,000.0","11,050.0","10,900.0",3.39M,0.00%,5751.13,1271.98,20508.261339092875
2024-10-07,10900.0,"11,250.0","11,250.0","10,850.0",4.97M,-2.68%,5695.94,1269.93,20399.66252699784
2024-10-04,11200.0,"10,550.0","11,250.0","10,550.0",17.24M,6.16%,5751.07,1270.6,20311.501079913603
2024-10-03,10550.0,"10,900.0","11,050.0","10,550.0",7.80M,-3.21%,5699.94,1278.1,20167.04913606912
2024-10-02,10900.0,"11,000.0","11,100.0","10,850.0",4.70M,-2.24%,5709.54,1287.84,20508.139848812098
2024-10-01,11150.0,"10,850.0","11,150.0","10,750.0",11.91M,2.76%,5708.75,1292.2,20569.033477321816
2024-09-30,10850.0,"10,650.0","10,850.0","10,600.0",5.61M,1.88%,5762.48,1287.94,20278.388228941687
2024-09-27,10650.0,"10,750.0","10,750.0","10,600.0",5.32M,0.00%,5738.17,1290.92,20060.28617710583
2024-09-26,10650.0,"10,650.0","11,000.0","10,650.0",6.56M,0.00%,5745.37,1291.49,20174.41954643629
2024-09-25,10650.0,"10,600.0","10,750.0","10,550.0",6.07M,1.43%,5722.26,1287.48,20278.09125269978
2024-09-24,10500.0,"10,500.0","10,600.0","10,400.0",2.14M,0.96%,5732.93,1276.99,20157.08693304536
2024-09-23,10400.0,"10,500.0","10,600.0","10,400.0",4.32M,-2.80%,5718.57,1268.48,20163.485421166308
2024-09-20,10700.0,"10,600.0","10,750.0","10,600.0",4.99M,1.42%,5702.55,1272.04,20376.970842332616
2024-09-19,10550.0,"10,600.0","10,750.0","10,550.0",2.51M,0.00%,5713.64,1271.27,20262.162526997843
2024-09-18,10550.0,"10,500.0","10,750.0","10,450.0",4.18M,0.96%,5618.26,1264.9,19930.980021598272
2024-09-17,10450.0,"10,400.0","10,450.0","10,250.0",2.84M,0.97%,5634.58,1258.95,19936.271598272146
2024-09-16,10350.0,"10,500.0","10,600.0","10,350.0",2.56M,-0.96%,5633.09,1239.26,19711.89254859611
2024-09-13,10450.0,"10,450.0","10,500.0","10,300.0",3.45M,0.00%,5626.02,1251.71,19960.59665226782
2024-09-12,10450.0,"10,650.0","10,700.0","10,450.0",2.30M,-1.42%,5595.76,1256.35,19695.059395248383
2024-09-11,10600.0,"10,700.0","10,700.0","10,400.0",3.90M,-0.47%,5554.13,1253.27,19653.131749460044
2024-09-10,10650.0,"10,450.0","10,900.0","10,400.0",9.86M,2.40%,5495.52,1255.23,19733.220842332616
2024-09-09,10400.0,"10,300.0","10,400.0","10,150.0",2.80M,1.46%,5471.05,1267.73,19130.92602591793
2024-09-06,10250.0,"10,250.0","10,350.0","10,100.0",3.62M,0.49%,5408.42,1273.96,18743.31803455724
2024-09-05,10200.0,"10,400.0","10,400.0","10,100.0",4.31M,-0.49%,5503.41,1268.21,18828.077753779697
2024-09-04,10250.0,"10,500.0","10,500.0","10,100.0",10.39M,-3.76%,5520.07,1275.8,18881.83045356372
2024-08-30,10650.0,"10,800.0","10,850.0","10,650.0",5.99M,-1.84%,5648.4,1283.87,19225.553455723544
2024-08-29,10850.0,"11,050.0","11,050.0","10,750.0",5.79M,-1.36%,5591.96,1281.47,19380.52105831533
2024-08-28,11000.0,"10,550.0","11,200.0","10,500.0",27.36M,4.76%,5592.18,1281.44,19371.733261339094
2024-08-27,10500.0,"10,500.0","10,550.0","10,400.0",3.70M,0.48%,5625.8,1280.56,19142.64308855292
2024-08-26,10450.0,"10,500.0","10,700.0","10,400.0",5.01M,0.48%,5616.84,1280.02,18989.065874730022
2024-08-23,10400.0,"10,450.0","10,550.0","10,350.0",6.08M,-0.95%,5634.61,1285.32,19113.228941684665
2024-08-22,10500.0,"10,700.0","10,700.0","10,500.0",2.79M,-1.87%,5570.64,1282.78,19179.346652267817
2024-08-21,10700.0,"10,600.0","10,700.0","10,500.0",4.60M,0.94%,5620.85,1284.05,19373.09665226782
2024-08-20,10600.0,"10,650.0","10,850.0","10,550.0",6.99M,0.95%,5597.12,1272.55,19434.786717062638
2024-08-19,10500.0,"10,550.0","10,650.0","10,400.0",4.15M,0.96%,5608.25,1261.62,19290.672246220303
2024-08-16,10400.0,"10,250.0","10,500.0","10,150.0",6.48M,3.48%,5554.25,1252.23,18890.523758099356
2024-08-15,10050.0,"10,050.0","10,300.0","10,000.0",5.04M,0.00%,5543.22,1223.56,18509.044276457884
2024-08-14,10050.0,"10,450.0","10,550.0","9,950.0",14.59M,-3.83%,5455.21,1230.36,18584.39524838013
2024-08-13,10450.0,"10,600.0","10,600.0","10,450.0",3.19M,-0.48%,5434.43,1230.42,18848.3126349892
2024-08-12,10500.0,"10,500.0","10,750.0","10,450.0",3.55M,0.48%,5344.39,1230.28,18805.750539956804
2024-08-09,10450.0,"10,800.0","10,800.0","10,300.0",12.24M,-2.79%,5344.16,1223.64,18693.23704103672
2024-08-08,10750.0,"11,600.0","11,600.0","10,750.0",34.78M,-6.93%,5319.31,1208.32,18660.353671706263
2024-08-07,11550.0,"11,850.0","11,900.0","11,550.0",5.99M,-2.53%,5199.5,1215.88,19031.16900647948
2024-08-06,11850.0,"11,700.0","11,850.0","11,600.0",4.44M,2.16%,5240.03,1210.28,19149.24406047516
2024-08-05,11600.0,"11,750.0","12,000.0","11,500.0",9.82M,-4.13%,5186.33,1188.07,18539.71382289417
2024-08-02,12100.0,"11,750.0","12,150.0","11,700.0",6.20M,2.54%,5346.56,1236.6,19290.83423326134
2024-08-01,11800.0,"12,150.0","12,200.0","11,800.0",7.33M,-2.88%,5446.68,1226.96,18566.671166306696
2024-07-31,12150.0,"12,400.0","12,500.0","12,100.0",9.19M,0.00%,5522.3,1251.51,18931.58747300216
2024-07-30,12150.0,"12,400.0","12,400.0","12,100.0",4.42M,-2.02%,5436.44,1245.06,19192.643088552915
2024-07-29,12400.0,"11,950.0","12,500.0","11,850.0",12.84M,2.90%,5463.54,1246.6,19784.341252699785
2024-07-26,12050.0,"11,750.0","12,150.0","11,750.0",9.03M,2.55%,5459.1,1242.11,19839.65982721382
2024-07-25,11750.0,"11,700.0","11,850.0","11,600.0",2.68M,-0.84%,5399.22,1233.19,19238.24244060475
2024-07-24,11850.0,"11,600.0","11,850.0","11,400.0",8.78M,2.16%,5427.13,1238.47,19250.55345572354
2024-07-23,11600.0,"11,950.0","12,000.0","11,600.0",4.96M,-2.93%,5555.74,1231.81,18652.011339092875
2024-07-22,11950.0,"11,800.0","12,050.0","11,600.0",11.32M,0.00%,5564.41,1254.64,19577.61879049676
2024-07-19,11950.0,"12,350.0","12,400.0","11,950.0",6.53M,-3.24%,5505.0,1264.78,20085.191684665228
2024-07-18,12350.0,"11,850.0","12,350.0","11,800.0",11.02M,4.22%,5544.59,1274.44,20525.97192224622
2024-07-17,11850.0,"12,050.0","12,200.0","11,800.0",10.22M,-1.66%,5588.27,1268.66,20194.654427645797
2024-07-16,12050.0,"12,050.0","12,150.0","11,950.0",4.47M,0.00%,5667.2,1281.18,21143.16954643629
2024-07-15,12050.0,"12,300.0","12,350.0","12,050.0",2.52M,-1.23%,5631.22,1279.82,21189.63282937365
2024-07-12,12200.0,"12,100.0","12,450.0","12,000.0",11.47M,1.24%,5615.35,1280.75,21019.49244060475
2024-07-11,12050.0,"12,050.0","12,150.0","11,850.0",4.64M,0.42%,5584.54,1283.8,21134.83288336933
2024-07-10,12000.0,"12,000.0","12,150.0","11,950.0",3.87M,0.42%,5633.91,1285.94,21481.578563714906
2024-07-09,11950.0,"11,750.0","12,100.0","11,700.0",10.77M,1.27%,5576.98,1293.71,21610.65793736501
2024-07-08,11800.0,"12,000.0","12,050.0","11,800.0",5.45M,-1.26%,5572.85,1283.56,21036.24676025918
2024-07-05,11950.0,"12,350.0","12,450.0","11,850.0",14.80M,-3.24%,5567.19,1283.04,20935.684395248383
2024-07-04,12350.0,"12,300.0","12,400.0","12,200.0",6.52M,0.82%,5537.02,1279.89,20832.700323974084
2024-07-03,12250.0,"12,400.0","12,400.0","12,200.0",3.43M,-0.41%,5537.02,1276.85,20938.43115550756
2024-07-02,12300.0,"12,400.0","12,450.0","12,250.0",3.59M,0.82%,5509.01,1269.79,20933.688444924403
2024-07-01,12200.0,"12,200.0","12,350.0","12,050.0",4.92M,0.83%,5475.09,1254.56,20856.711663066955
2024-06-28,12100.0,"12,500.0","12,550.0","12,000.0",9.76M,-2.81%,5460.48,1245.32,20705.07559395249
2024-06-27,12450.0,"12,700.0","12,700.0","12,400.0",3.77M,-1.97%,5482.87,1259.09,21376.2186825054
2024-06-26,12700.0,"12,600.0","12,700.0","12,450.0",4.45M,1.60%,5477.9,1261.24,21568.835583153348
2024-06-25,12500.0,"12,700.0","12,700.0","12,450.0",3.92M,-0.79%,5469.3,1256.56,21207.78995680346
2024-06-24,12600.0,"12,400.0","12,900.0","12,200.0",15.06M,1.61%,5447.87,1254.12,21085.659557235424
2024-06-21,12400.0,"12,550.0","12,700.0","12,400.0",7.35M,-1.20%,5464.62,1282.02,21956.18925485961
2024-06-20,12550.0,"12,850.0","13,000.0","12,450.0",16.20M,-1.95%,5473.17,1282.3,21824.38687904968
2024-06-19,12800.0,"13,550.0","13,600.0","12,750.0",27.67M,-5.88%,5487.03,1279.79,21810.94465442765
2024-06-18,13600.0,"13,450.0","13,650.0","13,400.0",4.54M,1.49%,5487.03,1279.5,21967.46220302376
2024-06-17,13400.0,"13,350.0","13,450.0","13,150.0",6.77M,0.75%,5473.23,1274.77,21522.191684665228
2024-06-14,13300.0,"13,900.0","14,000.0","13,300.0",33.58M,-4.66%,5431.6,1279.91,21748.489200863933
2024-06-13,13950.0,"14,200.0","14,250.0","13,850.0",11.63M,-1.76%,5433.74,1301.51,22476.064524838013
2024-06-12,14200.0,"14,200.0","14,400.0","14,000.0",5.73M,0.00%,5421.03,1300.19,22423.471922246223
2024-06-11,14200.0,"14,100.0","14,200.0","13,700.0",15.71M,1.43%,5375.32,1284.41,22344.762688984883
2024-06-10,14000.0,"14,500.0","14,600.0","13,950.0",17.10M,-2.78%,5360.79,1290.67,22493.09584233261
2024-06-07,14400.0,"14,400.0","14,600.0","14,300.0",6.78M,0.70%,5346.99,1287.58,22387.93115550756
2024-06-06,14300.0,"14,400.0","14,500.0","14,100.0",7.42M,0.35%,5352.96,1283.56,22234.17791576674
2024-06-05,14250.0,"14,500.0","14,500.0","14,200.0",10.04M,-1.04%,5354.03,1284.35,22374.14362850972
2024-06-04,14400.0,"15,050.0","15,100.0","14,400.0",21.60M,-4.00%,5291.34,1283.52,22638.89659827214
2024-06-03,15000.0,"14,650.0","15,150.0","14,500.0",25.77M,3.45%,5283.4,1280.0,22789.929265658742
2024-05-31,14500.0,"14,450.0","14,550.0","14,300.0",7.71M,-1.02%,5277.51,1261.72,22592.82910367171
2024-05-30,14650.0,"14,450.0","14,650.0","14,050.0",19.29M,0.34%,5235.48,1266.32,22752.08828293737
2024-05-29,14600.0,"15,100.0","15,200.0","14,500.0",19.82M,-2.34%,5266.95,1272.64,22483.562634989205
2024-05-28,14950.0,"14,700.0","15,100.0","14,600.0",19.15M,2.40%,5306.04,1281.73,22621.09881209503
2024-05-27,14600.0,"14,400.0","14,600.0","14,000.0",9.65M,1.04%,5304.72,1267.68,22285.460853131743
2024-05-24,14450.0,"14,600.0","14,800.0","13,900.0",23.19M,-1.03%,5304.72,1261.93,22202.772138228946
2024-05-23,14600.0,"14,200.0","14,700.0","13,900.0",21.91M,2.82%,5267.84,1281.03,22540.221112311017
2024-05-22,14200.0,"15,000.0","15,000.0","14,050.0",36.52M,-4.70%,5307.01,1266.91,22043.896598272146
2024-05-21,14900.0,"14,450.0","15,100.0","14,400.0",19.93M,1.02%,5321.41,1277.14,22346.89335853132
2024-05-20,14750.0,"15,000.0","15,300.0","14,600.0",26.43M,1.03%,5308.13,1277.58,22232.128779697625
2024-05-17,14600.0,"13,850.0","14,600.0","13,800.0",38.25M,6.96%,5303.27,1273.11,21854.48704103672
2024-05-16,13650.0,"13,650.0","13,700.0","13,400.0",15.57M,0.74%,5297.1,1268.78,20707.49487041037
2024-05-15,13550.0,"13,500.0","13,750.0","13,450.0",10.11M,0.00%,5308.15,1254.39,20544.688714902808
2024-05-14,13550.0,"13,800.0","13,950.0","13,500.0",6.89M,-1.09%,5246.68,1243.28,20610.282127429808
2024-05-13,13700.0,"13,250.0","13,850.0","13,050.0",21.28M,3.79%,5221.42,1240.18,20804.30777537797
2024-05-10,13200.0,"13,500.0","13,700.0","13,200.0",8.56M,-1.86%,5222.68,1244.7,20083.064524838013
