Date,Steel_Industry_Index
2025-04-01,23839.78961285169
2025-05-01,23709.40502684217
2025-06-01,24628.85077031658
2025-07-01,24347.882287804932
2025-08-01,23415.5418226432
2025-09-01,23381.192980498232
2025-10-01,23350.43454273563
2025-11-01,22499.589771191277
2025-12-01,22117.33321080224
2026-01-01,22229.80848373273
2026-02-01,21754.072896995058
2026-03-01,23245.09868867537
2026-04-01,22783.723041428628
2026-05-01,22650.816577826878
2026-06-01,23567.34711690522
2026-07-01,23291.451635813548
2026-08-01,22351.25472836373
2026-09-01,22316.164789762202
2026-10-01,22296.46842893013
2026-11-01,21460.59645744847
2026-12-01,21047.54907880071
2027-01-01,21166.60384949775
2027-02-01,20690.864138090314
2027-03-01,22173.39668099208
2027-04-01,21727.879256693985
2027-05-01,21592.377759463256
2027-06-01,22505.541462143698
2027-07-01,22234.77393903434
2027-08-01,21287.079127366345
2027-09-01,21251.35745814146
2027-10-01,21242.662666569853
2027-11-01,20421.493537474777
2027-12-01,19977.53988505768
2028-01-01,20103.35208323203
2028-02-01,19628.002890748226
2028-03-01,21144.863294047183
2028-04-01,20653.257841368097
2028-05-01,20525.330422690477
